gid,role,role_score,cluster_id,priority_score,evidence,rule,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,fast_share,seed_payers,seeds_2hop,pagerank,betweenness,max_payers_same_day,truncated
100000000011452100,peripheral,0.5,0,0.4271,"Получил 110 тыс ₸, отдал 17 тыс ₸ (15%) — удерживает часть средств, признаков роли недостаточно",P-other,1,False,3,1,110000.0,16685.0,7,2,0.1516818181818182,1.0,1,1,0.00047686402523264667,3.368496473580486e-06,1,False
100000000018102100,peripheral,0.4,3,0.1024,"Обрыв выгрузки на 4-м колене: получил 7 тыс ₸ от 1; исходящие не выгружены — роль «конечный» не присваиваем, нужна доп. выгрузка",P-trunc,4,False,1,0,7000.0,0.0,1,0,0.0,,0,0,0.00032040294724489533,0.0,1,True
100000000031787100,transit,0.722,6,0.6355,"Транзит: получил 90 тыс ₸, отдал 90 тыс ₸ (100%); 44% суммы ушло в течение 2 дн. после поступления",T1,2,False,1,2,90000.0,90000.0,2,4,1.0,0.4444444444444444,0,1,0.00043153563048532306,3.962937027741748e-07,1,False
100000000041368100,peripheral,0.7,2,0.3973,"Разовое поступление: 160 тыс ₸ от 1 плательщика, дальше не уходило; сумма мала",P-leaf,1,False,1,0,160000.0,0.0,1,0,0.0,,1,2,0.00031760712361923363,0.0,1,False
100000000076451100,peripheral,0.5,15,0.4863,"Получил 88 тыс ₸, отдал 58 тыс ₸ (66%) — удерживает часть средств, признаков роли недостаточно",P-other,2,False,3,4,87707.0,58000.0,4,4,0.661292713238396,0.25862068965517243,0,1,0.0013962008641423907,9.76863977338341e-05,2,False
100000000089154100,distributor,0.675,0,0.6565,"Веерная рассылка: 426 тыс ₸ на 15 получателей (21 переводов), плательщиков в выборке: 1",D1,1,False,1,15,10000.0,425500.0,1,21,42.55,0.27379553466509987,1,1,0.0002874458184490925,0.00010895478461069696,1,False
100000000190228100,peripheral,0.5,7,0.3894,"Получил 5 тыс ₸, отдал 29 тыс ₸ (571%) — отдаёт больше полученного: вероятны поступления извне выборки",P-other,2,False,1,1,5000.0,28560.0,1,1,5.712,0.0,0,1,0.0005820068181865632,2.159800680119253e-05,1,False
100000000201868100,transit,1.0,54,0.6596,"Транзит: получил 190 тыс ₸, отдал 190 тыс ₸ (100%); 100% суммы ушло в течение 2 дн. после поступления",T1,2,False,1,1,190000.0,190000.0,1,1,1.0,1.0,0,1,0.0009746432509228572,0.0,1,False
100000000254336100,transit,0.617,0,0.444,"Транзит: получил 97 тыс ₸, отдал 60 тыс ₸ (62%); 100% суммы ушло в течение 2 дн. после поступления",T2,3,False,2,1,97177.0,60000.0,2,1,0.6174300503205491,1.0,0,0,0.00029193514276874746,1.922024458454748e-05,1,False
100000000267734100,peripheral,0.5,6,0.4909,"Получил 180 тыс ₸, отдал 282 тыс ₸ (157%) — отдаёт больше полученного: вероятны поступления извне выборки",P-other,1,False,2,7,180000.0,282000.0,4,8,1.5666666666666667,0.4148936170212766,1,1,0.0005373190777888414,3.5666433249675733e-06,1,False
100000000274067100,peripheral,0.5,6,0.5018,"Получил 518 тыс ₸, отдал 3,0 млн ₸ (573%) — отдаёт больше полученного: вероятны поступления извне выборки",P-other,1,False,2,3,517704.0,2969000.0,9,9,5.734937338710924,0.6921522398113843,1,1,0.00041370365128518645,1.1888811083225246e-06,1,False
100000000287768100,peripheral,0.7,0,0.0971,"Разовое поступление: 35 тыс ₸ от 1 плательщика, дальше не уходило; сумма мала",P-leaf,3,False,1,0,35168.0,0.0,1,0,0.0,,0,0,0.0002886880716986394,0.0,1,False
100000000288317100,peripheral,0.5,3,0.298,"Получил 100 тыс ₸, отдал 54 тыс ₸ (54%) — удерживает часть средств, признаков роли недостаточно",P-other,3,False,2,3,100000.0,53500.0,2,3,0.535,0.308411214953271,0,0,0.0003128334856204937,5.8255174307803695e-05,1,False
100000000291906100,transit,0.534,49,0.7418,"Транзит: получил 388 тыс ₸, отдал 456 тыс ₸ (117%); 42% суммы ушло в течение 2 дн. после поступления",T1,2,False,2,2,388000.0,455854.0,3,6,1.1748814432989692,0.4186735226629579,0,1,0.0007629373053537469,7.806985944651244e-05,1,False
100000000291908100,peripheral,0.5,49,0.3918,"Получил 296 тыс ₸, отдал 13 тыс ₸ (5%) — удерживает часть средств, признаков роли недостаточно",P-other,3,False,1,1,295500.0,13300.0,5,1,0.045008460236886635,0.0,0,0,0.0007065527083396985,1.981468513870874e-05,1,False
100000000297649100,peripheral,0.5,11,0.4039,"Получил 40 тыс ₸, отдал 71 тыс ₸ (176%) — отдаёт больше полученного: вероятны поступления извне выборки",P-other,2,False,1,1,40000.0,70600.0,1,2,1.765,0.0,0,1,0.0008091385858414682,0.0,1,False
100000000299820100,peripheral,0.4,3,0.1447,"Обрыв выгрузки на 4-м колене: получил 10 тыс ₸ от 1; исходящие не выгружены — роль «конечный» не присваиваем, нужна доп. выгрузка",P-trunc,4,False,1,0,10000.0,0.0,1,0,0.0,,0,0,0.0004501620352243427,0.0,1,True
100000000307908100,peripheral,0.7,42,0.1646,"Разовое поступление: 5 тыс ₸ от 1 плательщика, дальше не уходило; сумма мала",P-leaf,2,False,1,0,5000.0,0.0,1,0,0.0,,0,1,0.0002964337747494588,0.0,1,False
100000000331309100,coordinator,0.937,4,0.9907,"Хаб: собирает и раздаёт: 5 плательщиков → 99 получателей, через узел 23,0 млн ₸; 3 seed в 2 шагах выше; посредничество выше 99% узлов",C1,2,False,5,99,984635.0,23001375.0,8,126,23.360306103276848,0.3584307459880116,0,3,0.0008756899038073739,0.004557234050267506,3,False
100000000332284100,consolidator,1.0,4,0.8418,"Сбор средств: 107 тыс ₸ от 10 плательщиков (из них seed: 0), дальше ушло 269% полученного; до 3 плательщиков в один день",K1,2,False,10,3,107426.0,289500.0,12,3,2.69487833485376,1.0,0,1,0.0007170946224349055,0.0001091372663902734,3,False
100000000343175100,coordinator,0.997,9,0.9824,"Хаб: собирает и раздаёт: 8 плательщиков → 31 получателей, через узел 4,0 млн ₸; 3 seed в 2 шагах выше; посредничество выше 98% узлов",C1,0,True,8,31,178712.0,4000039.0,14,33,,1.0,1,3,0.0007132581979384031,0.0010946926090299827,2,False
100000000369781100,peripheral,0.4,4,0.1416,"Обрыв выгрузки на 4-м колене: получил 5 тыс ₸ от 1; исходящие не выгружены — роль «конечный» не присваиваем, нужна доп. выгрузка",P-trunc,4,False,1,0,5000.0,0.0,1,0,0.0,,0,0,0.0005324777910582551,0.0,1,True
100000000375150100,peripheral,0.4,13,0.337,"Обрыв выгрузки на 4-м колене: получил 300 тыс ₸ от 1; исходящие не выгружены — роль «конечный» не присваиваем, нужна доп. выгрузка",P-trunc,4,False,1,0,300000.0,0.0,1,0,0.0,,0,0,0.0007463802351751558,0.0,1,True
100000000404740100,peripheral,0.4,25,0.2066,"Обрыв выгрузки на 4-м колене: получил 25 тыс ₸ от 1; исходящие не выгружены — роль «конечный» не присваиваем, нужна доп. выгрузка",P-trunc,4,False,1,0,25000.0,0.0,1,0,0.0,,0,0,0.0005579900727464822,0.0,1,True
100000000408846100,peripheral,0.7,26,0.1386,"Разовое поступление: 40 тыс ₸ от 1 плательщика, дальше не уходило; сумма мала",P-leaf,3,False,1,0,40500.0,0.0,1,0,0.0,,0,0,0.0002957255734808799,0.0,1,False
100000000413678100,peripheral,0.5,3,0.3384,"Получил 306 тыс ₸, отдал 528 тыс ₸ (172%) — отдаёт больше полученного: вероятны поступления извне выборки",P-other,3,False,2,3,306500.0,528198.0,2,18,1.723321370309951,0.14767000253692744,0,0,0.0003006988541738493,5.7660733753642434e-05,2,False
